Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
1999,3845,3717,4939,5238,5619,6375,6586,7012,6109,7212,7859,8621,73131
2000,9327,9019,9933,8863,10934,12015,15019,16077,16396,17462,18173,18188,166228
2001,16157,11614,11750,9232,8551,8515,8604,9028,9308,10338,11059,11733,125888
2002,12045,11468,12277,13366,15201,15615,13536,13544,12755,15231,14582,11278,160961
2003,13129,12345,13851,15264,16812,17846,17649,18317,18911,20304,18510,18965,201904
2004,19156,18385,19972,20631,21720,22519,23148,23414,23174,22970,20986,19919,255992
2005,20843,17200,17610,18903,19508,20105,20847,23182,25229,26227,27518,27416,264588
2006,26178,24009,27107,27388,27124,27647,27959,27284,27198,27032,25060,22871,317407
2007,21389,20947.9,22560,23093.76814,25711.84251,26112.32216,29482.67415,30018.85993,29452.63008,32606.41667,31264.92582,29988.44438,322630
2008,31069.01817,29282.492,27128.456,28862.999,29801.21,29472.535,31814.177,31849.618,29314.755,29490,20644,14429,333158
2009,13126,12176,14198,22450,25247,26515,31173,29827,28936,30219,30322,31554,295742
2010,30136,30132,31919,33809,34819,36334,37218,37391,37638,38427,36846,34869,419538
2011,35371,32691,37315,37127,36709,36673,35432,37645,33406,37610,35859,31242,427081
2012,34569,33856,37083,40496,44138,43427,48525,49497,43353,49938,44253,37114,506249
2013,47439,41182,44134,50071,51788,54028,52103,55091,55382,51795,44330,49681,597024
2014,51430,46829,49956,61887,60789,60344,64925,69279,74846,80736,72275,69510,762806
2015,87120,62645,72269,75330,70155,59955,80953,67038,64514,81743,63428,58347,843497
2016,70855,59551,73089,66843,73576,81391,76392,94311,89703,91085,93030,78112,947938
2017,76616,71423,85875,56872,72796,84187,71611,91917,88579,94520,93153,89897,977447
2018,79741,64641,103697,81870,80969,70438,74371,91055,94922,101550,98389,89831,1031474
2019,78094,60889,79722,74694,80437,85868,84758,106118,102170,106040,107884,103313,1069985
2020,103683,93394,113520,96002,93819,120878,105963,122878,127585,119303,124865,117365,1339255
2021,126749,106534,129127,111315,112360,148471,124558,137427,152685,134539,148268,155382,1587415
2022,172176,146933,171967,172561,185705,175874,186763,218132,208248,210266,222706,192560,2263891
2023,200051,163174,145408,147900,,,,,,,,,
